Carrier,orig_port_cd,dest_port_cd,minm_wgh_qty,max_wgh_qty,svc_cd,minimum cost,rate,mode_dsc,tpt_day_cnt,Carrier type
CARRIER_01,PORT02,PORT08,0.0,4.99,DTD,78.0515,2.2049,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,5.0,9.99,DTD,78.0515,2.0947,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,10.0,24.99,DTD,78.0515,1.9899,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,25.0,49.99,DTD,78.0515,1.8904,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,50.0,99.99,DTD,78.0515,1.7959,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,100.0,299.99,DTD,78.0515,1.7061,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,300.0,499.99,DTD,78.0515,1.6208,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,500.0,999.99,DTD,78.0515,1.5398,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,1000.0,4999.99,DTD,78.0515,1.4628,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,5000.0,99999.99,DTD,78.0515,1.3896,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,0.0,4.99,DTP,78.0515,3.1438,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,5.0,9.99,DTP,78.0515,2.9866,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,10.0,24.99,DTP,78.0515,2.8373,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,25.0,49.99,DTP,78.0515,2.6954,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,50.0,99.99,DTP,78.0515,2.5607,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,100.0,299.99,DTP,78.0515,2.4326,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,300.0,499.99,DTP,78.0515,2.311,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,500.0,999.99,DTP,78.0515,2.1955,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,1000.0,4999.99,DTP,78.0515,2.0857,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT08,5000.0,99999.99,DTP,78.0515,1.9814,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,0.0,4.99,DTD,78.0515,4.8479,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,5.0,9.99,DTD,78.0515,4.6055,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,10.0,24.99,DTD,78.0515,4.3752,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,25.0,49.99,DTD,78.0515,4.1565,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,50.0,99.99,DTD,78.0515,3.9487,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,100.0,299.99,DTD,78.0515,3.7512,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,300.0,499.99,DTD,78.0515,3.5637,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,500.0,999.99,DTD,78.0515,3.3855,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,1000.0,4999.99,DTD,78.0515,3.2162,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,5000.0,99999.99,DTD,78.0515,3.0554,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,0.0,4.99,DTP,78.0515,2.8489,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,5.0,9.99,DTP,78.0515,2.7065,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,10.0,24.99,DTP,78.0515,2.5711,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,25.0,49.99,DTP,78.0515,2.4426,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,50.0,99.99,DTP,78.0515,2.3205,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,100.0,299.99,DTP,78.0515,2.2044,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,300.0,499.99,DTP,78.0515,2.0942,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,500.0,999.99,DTP,78.0515,1.9895,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,1000.0,4999.99,DTP,78.0515,1.89,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT03,5000.0,99999.99,DTP,78.0515,1.7955,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT05,0.0,4.99,DTD,78.0515,4.5941,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT05,5.0,9.99,DTD,78.0515,4.3644,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT05,10.0,24.99,DTD,78.0515,4.1462,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT05,25.0,49.99,DTD,78.0515,3.9389,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT05,50.0,99.99,DTD,78.0515,3.7419,AIR,2,CTYPE_01
CARRIER_01,PORT02,PORT05,100.0,299.99,DTD,78.0515,3.5548,AIR,2,CTYPE_01
