Plant Code,Port
PLANT_01,PORT02
PLANT_01,PORT01
PLANT_02,PORT04
PLANT_02,PORT02
PLANT_02,PORT06
PLANT_03,PORT01
PLANT_03,PORT08
PLANT_04,PORT03
PLANT_04,PORT02
PLANT_05,PORT02
PLANT_05,PORT01
PLANT_05,PORT06
PLANT_06,PORT03
PLANT_06,PORT08
PLANT_06,PORT01
PLANT_07,PORT07
PLANT_07,PORT03
PLANT_07,PORT04
PLANT_08,PORT08
PLANT_08,PORT03
PLANT_09,PORT02
PLANT_09,PORT01
PLANT_10,PORT07
PLANT_11,PORT07
PLANT_11,PORT03
PLANT_12,PORT05
PLANT_13,PORT03
PLANT_13,PORT07
PLANT_13,PORT04
PLANT_14,PORT07
PLANT_15,PORT04
PLANT_15,PORT08
PLANT_15,PORT06
PLANT_16,PORT07
PLANT_17,PORT03
PLANT_17,PORT06
PLANT_17,PORT05
PLANT_18,PORT01
PLANT_18,PORT08
PLANT_19,PORT01
PLANT_19,PORT06
PLANT_20,PORT06
