Plant Code,Customers
PLANT_02,CUST_241
PLANT_02,CUST_496
PLANT_09,CUST_496
PLANT_02,CUST_426
PLANT_14,CUST_426
PLANT_02,CUST_212
PLANT_13,CUST_076
PLANT_02,CUST_076
PLANT_09,CUST_128
PLANT_14,CUST_277
PLANT_14,CUST_158
PLANT_02,CUST_158
PLANT_09,CUST_006
PLANT_13,CUST_100
PLANT_09,CUST_492
PLANT_02,CUST_480
PLANT_09,CUST_480
PLANT_02,CUST_462
PLANT_02,CUST_401
PLANT_13,CUST_401
PLANT_02,CUST_020
PLANT_09,CUST_144
PLANT_14,CUST_348
PLANT_02,CUST_348
PLANT_13,CUST_312
PLANT_02,CUST_390
PLANT_09,CUST_390
PLANT_09,CUST_445
PLANT_02,CUST_205
PLANT_02,CUST_217
PLANT_09,CUST_461
PLANT_13,CUST_461
PLANT_02,CUST_365
PLANT_09,CUST_365
PLANT_09,CUST_009
PLANT_14,CUST_251
PLANT_02,CUST_251
PLANT_13,CUST_283
PLANT_02,CUST_283
PLANT_14,CUST_115
PLANT_02,CUST_320
PLANT_13,CUST_320
PLANT_02,CUST_211
PLANT_09,CUST_211
PLANT_09,CUST_273
PLANT_14,CUST_273
PLANT_02,CUST_256
PLANT_14,CUST_256
PLANT_14,CUST_284
PLANT_13,CUST_284
PLANT_02,CUST_373
PLANT_13,CUST_332
PLANT_02,CUST_332
PLANT_02,CUST_147
PLANT_09,CUST_147
PLANT_09,CUST_111
PLANT_02,CUST_096
PLANT_14,CUST_235
PLANT_14,CUST_286
PLANT_09,CUST_286
PLANT_14,CUST_446
PLANT_02,CUST_046
PLANT_09,CUST_034
PLANT_09,CUST_318
PLANT_14,CUST_247
PLANT_13,CUST_247
PLANT_09,CUST_291
PLANT_02,CUST_291
PLANT_02,CUST_394
PLANT_09,CUST_394
PLANT_02,CUST_083
PLANT_14,CUST_083
PLANT_09,CUST_097
PLANT_14,CUST_097
PLANT_09,CUST_439
PLANT_13,CUST_439
PLANT_02,CUST_350
PLANT_14,CUST_195
PLANT_02,CUST_047
PLANT_14,CUST_047
PLANT_09,CUST_021
PLANT_13,CUST_021
PLANT_14,CUST_268
PLANT_09,CUST_268
PLANT_02,CUST_322
PLANT_09,CUST_095
PLANT_13,CUST_095
PLANT_09,CUST_208
PLANT_02,CUST_491
PLANT_13,CUST_491
PLANT_14,CUST_476
PLANT_02,CUST_476
PLANT_13,CUST_194
PLANT_02,CUST_425
PLANT_02,CUST_039
PLANT_09,CUST_039
PLANT_13,CUST_269
PLANT_09,CUST_040
PLANT_14,CUST_154
PLANT_02,CUST_319
PLANT_13,CUST_104
PLANT_09,CUST_104
PLANT_14,CUST_393
PLANT_09,CUST_393
PLANT_02,CUST_455
PLANT_13,CUST_455
PLANT_14,CUST_113
PLANT_13,CUST_084
PLANT_09,CUST_084
PLANT_13,CUST_494
PLANT_13,CUST_066
PLANT_02,CUST_155
PLANT_13,CUST_155
